LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
"d $350,000-1 million","WESTERLIN-HARRINGTON FLYING SERVCE, INC.",P.O.Box 350,HOLDREGE,NE,68949,424910,Subchapter S Corporation,White,Male Owned,Non-Veteran,NA,32,04/03/2020,Five Points Bank,NE - 03
"d $350,000-1 million",WESTERN INTEGRATED SEED INC,1757 HOEGEMEYER RD,HOOPER,NE,68031,111150,Corporation,White,Male Owned,Non-Veteran,NA,59,04/03/2020,Bank Midwest,NE - 01
"d $350,000-1 million",WESTOVER ROCK &AMP; SAND INC,7800 HWY. 50,WEEPING WATER,NE,68463,484220,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,05/03/2020,"Wells Fargo Bank, National Association",NE - 01
"d $350,000-1 million","WESTSIDE COMMUNITY SCHOOLS FOUNDATION, INC.",909 S 76th ST,OMAHA,NE,68114,624410,Non-Profit Childcare Center,Unanswered,Unanswered,Unanswered,Y,NA,04/09/2020,First National Bank of Omaha,NE - 02
"d $350,000-1 million",WHITE OAK MANEMENT CORP,720 N 108th Ct,OMAHA,NE,68154,447110,Corporation,Unanswered,Unanswered,Unanswered,NA,42,04/12/2020,First State Bank,NE - 02
"d $350,000-1 million","WHITEWAY BUILDING SERVICES, INC.",3003 South 87TH ST,OMAHA,NE,68124,561720,Subchapter S Corporation,White,Male Owned,Unanswered,NA,164,04/05/2020,"First Westroads Bank, Inc",NE - 02
"d $350,000-1 million","WICK'S TRUCK TRAILERS, INC.",10580 147TH ST,OMAHA,NE,68138,532120,Corporation,Unanswered,Unanswered,Unanswered,NA,40,04/07/2020,Core Bank,NE - 02
"d $350,000-1 million",WIECHMAN PIG CO INC,725 SCHNEIDER ST,FREMONT,NE,68025,424470,Corporation,White,Male Owned,Non-Veteran,NA,98,04/07/2020,First State Bank & Trust Company,NE - 01
"d $350,000-1 million",WILBER CARE CENTER,611 N Main St,WILBER,NE,68465,623110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,0,04/27/2020,First State Bank Nebraska,NE - 03
"d $350,000-1 million","WILDERNESS RIDGE, LLC",1800 Wilderness Woods Place,LINCOLN,NE,68512,713910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,99,04/03/2020,Pinnacle Bank,NE - 01
"d $350,000-1 million","WILKINSON DEVELOPMENT, INC.",214 E. 5TH ST,NORTH PLATTE,NE,69101,445120,Corporation,White,Male Owned,Unanswered,NA,83,04/03/2020,NebraskaLand National Bank,NE - 03
"d $350,000-1 million","WILLIAMS LEASING, LLC",5621 S 118TH PLZ,OMAHA,NE,68137,532120,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,NA,37,04/04/2020,Security National Bank of Omaha,NE - 02
"d $350,000-1 million",WILLIAMSBURG DENTAL LLC,6930 L Street Suite B,LINCOLN,NE,68510,621210,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,NA,49,04/27/2020,Frontier Bank,NE - 01
"d $350,000-1 million","WOLFE ELECTRIC CO., INC.",7121 AMANDA RD,LINCOLN,NE,68507,238210,Corporation,White,Male Owned,Non-Veteran,NA,76,04/08/2020,Frontier Bank,NE - 01
"d $350,000-1 million","WOLFE, SNOWDEN, HURD, AHL ,SITZMANN, TANNEHILL & HAHN, LLP",1248 O ST,LINCOLN,NE,68508,541110,Limited Liability Partnership,Unanswered,Male Owned,Unanswered,NA,27,04/15/2020,Treynor State Bank,NE - 01
"d $350,000-1 million",WOMEN'S CENTER FOR ADVANCEMENT,3801 HARNEY ST,OMAHA,NE,68131,624110,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/09/2020,First National Bank of Omaha,NE - 02
"d $350,000-1 million","WOMEN'S CLINIC OF LINCOLN, P.C.",220 Lyncrest Dr.,LINCOLN,NE,68510,621111,Corporation,Unanswered,Unanswered,Unanswered,NA,42,04/04/2020,Union Bank and Trust Company,NE - 01
"d $350,000-1 million",WOOD RIVER DAIRY LLC,30955 HIGHWAY 183,MILLER,NE,68858,112120,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,NA,46,04/28/2020,Citizens Business Bank,NE - 03
"d $350,000-1 million","WOODHOUSE FORD SOUTH, INC",2288 Osage Ranch Blvd,PLATTSMOUTH,NE,68048,441110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,33,04/04/2020,American National Bank,NE - 01
"d $350,000-1 million","WOODHOUSE NISSAN, INC",7801 Nebraska Drive,BELLEVUE,NE,68005,441110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,50,04/04/2020,American National Bank,NE - 01
"d $350,000-1 million","WOODHOUSE SW OMAHA, INC",8606 S 145th St,OMAHA,NE,68138,441110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,80,04/04/2020,American National Bank,NE - 02
"d $350,000-1 million",WOODS AITKEN LLP,301 S13TH ST Suite 500,LINCOLN,NE,68508,541211,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,NA,40,04/08/2020,NebraskaLand National Bank,NE - 01
"d $350,000-1 million","WOODWARD'S DISPOSAL SERVICE, INC.",1039 S Burlington,HASTINGS,NE,68901,562111,Corporation,White,Female Owned,Unanswered,NA,38,04/10/2020,Bank of Doniphan,NE - 03
"d $350,000-1 million",WORKFORCE SCIENCE ASSOCIATES LLC,RIDGE LINE RD 2930 STE 101,LINCOLN,NE,68516,541511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,NA,04/10/2020,First National Bank of Omaha,NE - 01
"d $350,000-1 million",WRIGHT PRINTING CO.,11616 I ST,OMAHA,NE,68137,323111,Corporation,Unanswered,Male Owned,Unanswered,NA,64,04/13/2020,Treynor State Bank,NE - 02
"d $350,000-1 million","XTREME HEATING & COOLING, LLC.",8550 WHITMORE CIR,OMAHA,NE,68122,444190,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,NA,31,04/06/2020,Core Bank,NE - 01
"d $350,000-1 million","YORK COLD STORAGE I, LLC",402 Commerce Street,YORK,NE,68467,424420,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,69,04/28/2020,"U.S. Bank, National Association",NE - 03
"d $350,000-1 million",YORK COLLEGE,1125 E 8th St,YORK,NE,68467,611310,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,240,04/04/2020,Union Bank and Trust Company,NE - 03
"d $350,000-1 million",YORK MEDICAL CLINIC PC,2114 N LINCOLN AVE STE A,YORK,NE,68467,621111,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,NA,50,04/04/2020,Cornerstone Bank,NE - 03
"d $350,000-1 million",YOUNES HOSPITALITY INC,404 east 25th Street,KEARNEY,NE,68847,721110,Subchapter S Corporation,White,Female Owned,Non-Veteran,NA,50,04/03/2020,Five Points Bank,NE - 03
"d $350,000-1 million",YOUNG MEN'S CHRISTIAN ASSOCIATION OF FREMONT NEBRASKA,810 N LINCOLN AVE,FREMONT,NE,68025,713940,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,NA,04/07/2020,First National Bank of Omaha,NE - 01
"d $350,000-1 million",YOUTH DEVELOPERS SERVICES L.L.C.,15409 Mormon Street,BENNINGTON,NE,68007,611699,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,05/07/2020,Celtic Bank Corporation,NE - 01
"d $350,000-1 million","ZNUB, INC.",15333 PIONEERS BLVD,WALTON,NE,68461,551112,Corporation,White,Male Owned,Non-Veteran,NA,176,04/04/2020,Pinnacle Bank,NE - 01
"e $150,000-350,000",1810 READ ACQUISITION LLC,1810 READ ST,OMAHA,NE,68112,333415,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,NA,24,04/28/2020,Access Bank,NE - 01
"e $150,000-350,000",1912 BENSON LLC,6201 Maple Street,OMAHA,NE,68104,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,24,04/03/2020,Access Bank,NE - 02
"e $150,000-350,000","24TH STREET ENTERPRISES, LLC",2220 Farnam Street,OMAHA,NE,68102,721110,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,NA,37,04/03/2020,Pinnacle Bank,NE - 02
"e $150,000-350,000","2EVOLVE TECHNOLOGIES, INC",18021 OAK ST,OMAHA,NE,68130,541618,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,50,04/15/2020,"U.S. Bank, National Association",NE - 02
"e $150,000-350,000",4 WIZARDS LLC,9300 UNDERWOOD AVE STE 500,OMAHA,NE,68114,522320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,2,04/08/2020,American National Bank,NE - 02
"e $150,000-350,000",4324 FORT STREET,4324 Fort Street,OMAHA,NE,68111,236115,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,3,04/06/2020,American National Bank,NE - 02
"e $150,000-350,000",4TF LLC,8911 BERG DR,LINCOLN,NE,68505,812112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,26,04/27/2020,West Gate Bank,NE - 01
"e $150,000-350,000","5 D'S TRANSPORTATION, INC.",20740 Appaloosa Dr,ELKHORN,NE,68022,484121,Subchapter S Corporation,Hispanic,Female Owned,Non-Veteran,NA,28,04/03/2020,Enterprise Bank,NE - 02
"e $150,000-350,000",6 4 FUN LLC,13955 S Plaza,OMAHA,NE,68137,722514,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,80,04/03/2020,Union Bank and Trust Company,NE - 02
"e $150,000-350,000",7-N-1,1101 Emmet St,OMAHA,NE,68164,442210,Subchapter S Corporation,White,Male Owned,Non-Veteran,NA,25,04/07/2020,Union Bank and Trust Company,NE - 02
"e $150,000-350,000","88 TACTICAL OMAHA, LLC",222 S. 15th St Suite 1404S,OMAHA,NE,68102,611699,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,57,04/07/2020,Core Bank,NE - 02
"e $150,000-350,000",A & D TECHNICAL SUPPLY CO. INC.,4320 SO. 89th Street,OMAHA,NE,68127,323111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/15/2020,Great Western Bank,NE - 02
"e $150,000-350,000",A & E ELECTRIC LLC,500 E 39TH ST,HASTINGS,NE,68901,238210,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,NA,17,04/09/2020,Five Points Bank of Hastings,NE - 03
"e $150,000-350,000","A & L HYDRAULICS, INC.",4412 S 87th St.,OMAHA,NE,68127,424990,Corporation,Unanswered,Male Owned,Non-Veteran,NA,0,04/13/2020,"UMB Bank, National Association",NE - 02
"e $150,000-350,000","A E SERVICES, LLC",2410 W. Overland,SCOTTSBLUFF,NE,69361,238210,Subchapter S Corporation,White,Male Owned,Non-Veteran,NA,21,04/03/2020,Platte Valley Bank,NE - 03
"e $150,000-350,000","A PLACE AT HOME, LLC",11310 Davenport St,OMAHA,NE,68154,621610,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,NA,83,04/04/2020,Union Bank and Trust Company,NE - 02
"e $150,000-350,000",A STREET AUTO PARTS INC,2137 CORNHUSKER HWY,LINCOLN,NE,68521,423120,Corporation,Unanswered,Unanswered,Unanswered,NA,42,04/27/2020,Union Bank and Trust Company,NE - 01
"e $150,000-350,000","A UNITED AUTOMATIC DOORS & GLASS, INC.",1410 N SADDLE CREEK RD,OMAHA,NE,68132,238290,Subchapter S Corporation,White,Male Owned,Non-Veteran,NA,21,04/13/2020,Premier Bank,NE - 02
"e $150,000-350,000","A-1 PROFESSIONALS, INC",1002 West Mission Avenue,BELLEVUE,NE,68005,551112,Corporation,Unanswered,Male Owned,Unanswered,NA,NA,05/21/2020,Celtic Bank Corporation,NE - 01
"e $150,000-350,000","A-1 REFRIGERATION,INC.",1134 North 21,LINCOLN,NE,68503,238220,Corporation,Unanswered,Unanswered,Unanswered,NA,11,04/10/2020,Union Bank and Trust Company,NE - 01
"e $150,000-350,000",A-J SHEET METAL INC.,910 East 8th,NORTH PLATTE,NE,69101,238220,Corporation,White,Male Owned,Non-Veteran,NA,32,04/03/2020,Western Nebraska Bank,NE - 03
"e $150,000-350,000",A.C. LIGHTNING PROTECTION COMPANY,309 PLAZA DR,WEST POINT,NE,68788,238290,Subchapter S Corporation,White,Female Owned,Unanswered,NA,38,04/08/2020,BankFirst,NE - 01
"e $150,000-350,000",A1 CABINET &AMP; GRANITE,1401 BOND CIR W,LINCOLN,NE,68521,238990,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,NA,26,05/03/2020,"U.S. Bank, National Association",NE - 01
"e $150,000-350,000",A1 KITCHEN & BATH OF OMAHA LLC,7002 F Street,OMAHA,NE,68117,442299,Limited  Liability Company(LLC),Asian,Female Owned,Non-Veteran,NA,25,04/08/2020,Security National Bank of Omaha,NE - 02
"e $150,000-350,000",AAA ENTERPRISES INC,2700 N 27TH STREET,LINCOLN,NE,68521,532289,Corporation,White,Female Owned,Non-Veteran,NA,28,04/03/2020,Pinnacle Bank,NE - 01
"e $150,000-350,000",AAM TRANS CORPORATION,6061 L St,OMAHA,NE,68117,811111,Subchapter S Corporation,White,Male Owned,Non-Veteran,NA,31,04/15/2020,Enterprise Bank,NE - 02
"e $150,000-350,000",ABC TERMITE AND PEST CONTROL INC.,5610 Holdrege Street,LINCOLN,NE,68505,561710,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,27,04/04/2020,Union Bank and Trust Company,NE - 01
"e $150,000-350,000",ABE KRASNE HOME FURNISHINGS INC,MAIN ST,FREMONT,NE,68025,442299,Corporation,White,Female Owned,Non-Veteran,NA,33,04/03/2020,First State Bank & Trust Company,NE - 01
"e $150,000-350,000",ABIDE NETWORK INC,3223 N 45th St,OMAHA,NE,68104,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,19,04/03/2020,American National Bank,NE - 02
"e $150,000-350,000","ABLE PLUMBING, INC",2336 BOB BOOZER DR,OMAHA,NE,68130,238220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,16,04/13/2020,Northwest Bank,NE - 02
"e $150,000-350,000","ABLE TRANSPORT SOLUTIONS, INC.",963 N 13th st,FORT CALHOUN,NE,68023,488510,Corporation,Unanswered,Female Owned,Non-Veteran,NA,NA,04/07/2020,First National Bank of Omaha,NE - 01
"e $150,000-350,000",ABOVE & BEYOND COMPLETE GROUNDS MAINTENANCE INC,5904 S 77th St,OMAHA,NE,68127,561730,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/08/2020,Great Western Bank,NE - 02
"e $150,000-350,000","ACADEMIC ADVANTAGE CHILD DEVELOPMENT CENTER, INC.",8215 Northwoods Dr,LINCOLN,NE,68516,624410,Subchapter S Corporation,White,Female Owned,Non-Veteran,NA,58,04/07/2020,Union Bank and Trust Company,NE - 01
"e $150,000-350,000",ACCESS ELECTRICAL SYSTEMS INC.,701 W 4th Street,GRAND ISLAND,NE,68801,238210,Subchapter S Corporation,White,Male Owned,Non-Veteran,NA,23,04/06/2020,Bank of the Valley,NE - 03
"e $150,000-350,000",ACCESS HOLDINGS LLC,"1303 S 72ND ST, Ste 209",OMAHA,NE,68124,531120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,19,04/04/2020,Pinnacle Bank,NE - 02
"e $150,000-350,000","ACCLARO VALUATION ADVISORS, LLC",REGENCY PARKWAY DR Suite 206,OMAHA,NE,68114,541990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,NA,04/07/2020,First National Bank of Omaha,NE - 02
"e $150,000-350,000","ACG SOLUTIONS, INC",3032 W Stolley Park Rd,GRAND ISLAND,NE,68801,541990,Corporation,White,Male Owned,Non-Veteran,NA,17,04/03/2020,Pinnacle Bank,NE - 03
"e $150,000-350,000",ACR CORPORATION,6104 MAPLE ST,OMAHA,NE,68104,722410,Corporation,White,Male Owned,Non-Veteran,NA,81,04/06/2020,Premier Bank,NE - 02
"e $150,000-350,000",ACTION COMMUNICATIONS INC.,315 West 27th Street,SCOTTSBLUFF,NE,69361,517312,Subchapter S Corporation,White,Male Owned,Non-Veteran,NA,27,04/06/2020,Platte Valley Bank,NE - 03
"e $150,000-350,000",ACTION EQUIPMENT CO / SIBBERSEN EXCAVATING INC,308 N 115th ST,OMAHA,NE,68154,423440,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/07/2020,First National Bank of Omaha,NE - 02
"e $150,000-350,000",ACTION GROUP,2138 South  181ST CIR,OMAHA,NE,68130,323111,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,NA,19,04/09/2020,Great Southern Bank,NE - 02
"e $150,000-350,000",ACTIVE FAMILY CHIROPRACTIC & ACUPUNCTURE PC,705 N WEBB RD,GRAND ISLAND,NE,68803,621310,Corporation,White,Male Owned,Unanswered,NA,28,04/03/2020,Home Federal Savings & Loan Association of Grand Island,NE - 03
"e $150,000-350,000","ADAMS & SULLIVAN, P.C., L.L.O.",1246 Golden Gate Dr,PAPILLION,NE,68046,541110,Corporation,White,Male Owned,Non-Veteran,NA,10,04/03/2020,Pinnacle Bank,NE - 02
"e $150,000-350,000","ADAMS, INC",17330 Wright St Suite 101,OMAHA,NE,68130,561311,Subchapter S Corporation,White,Male Owned,Non-Veteran,NA,13,04/03/2020,Frontier Bank,NE - 02
"e $150,000-350,000",ADAPTIVE STAFFING INC,4949 N 26TH ST SUITE B,LINCOLN,NE,68521,561311,Subchapter S Corporation,White,Female Owned,Unanswered,NA,200,04/04/2020,First Northeast Bank of Nebraska,NE - 01
"e $150,000-350,000","ADCRAFT, INC.",1008 DAKOTA AVE,SOUTH SIOUX CITY,NE,68776,323111,Corporation,White,Male Owned,Non-Veteran,NA,34,04/04/2020,"Heritage Bank, National Association",NE - 03
"e $150,000-350,000",ADDY'S SPORTS GRILL MAPLE INC.,14615 W Maple Rd,OMAHA,NE,68116,722511,Corporation,White,Female Owned,Non-Veteran,NA,27,04/03/2020,Arbor Bank,NE - 02
"e $150,000-350,000",ADS BIOTEC INC,7409 Irvington Rd,OMAHA,NE,68122,621511,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/10/2020,First National Bank of Omaha,NE - 01
"e $150,000-350,000",ADVANCED AUDIO VISUAL INC,11041 O ST,OMAHA,NE,68137,443142,Corporation,Unanswered,Unanswered,Unanswered,NA,20,04/04/2020,Cornerstone Bank,NE - 02
"e $150,000-350,000","ADVANCED ENGINEERING SYSTEMS, INC.",4630 Antelope Creek Rd. Ste 200,LINCOLN,NE,68506,541330,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,NA,27,04/03/2020,West Gate Bank,NE - 01
"e $150,000-350,000","ADVANCED MEDICAL IMAGING SURGERY CENTER,",7601 Pioneers Blvd.,LINCOLN,NE,68506,621493,Partnership,Unanswered,Unanswered,Unanswered,NA,19,04/03/2020,Union Bank and Trust Company,NE - 01
"e $150,000-350,000",ADVANCED VASCULAR AND VEIN CENTER,"4242 Farnam Street, Ste 490",OMAHA,NE,68131,621111,Limited  Liability Company(LLC),White,Male Owned,Unanswered,NA,14,04/10/2020,Security National Bank of Omaha,NE - 02
"e $150,000-350,000","ADVENT, LLP",17838 Burke Street Ste 200,OMAHA,NE,68118,541110,Partnership,Unanswered,Unanswered,Unanswered,NA,12,04/03/2020,Union Bank and Trust Company,NE - 02
"e $150,000-350,000","AEA INTEGRATION, INC.",3035 S 72ND ST,OMAHA,NE,68124,541511,Subchapter S Corporation,White,Male Owned,Unanswered,NA,11,04/07/2020,Nebraska Bank of Commerce,NE - 02
"e $150,000-350,000","AESTHETIC SURGICAL IMAGES, PC",8900 West Dodge Rd,OMAHA,NE,68114,621111,Corporation,Unanswered,Unanswered,Unanswered,NA,19,04/05/2020,American National Bank,NE - 02
"e $150,000-350,000",AFFAIRS REMEMBERED INC.,1915 JACKSON ST,OMAHA,NE,68102,722320,Corporation,White,Male Owned,Non-Veteran,NA,22,04/06/2020,"First Westroads Bank, Inc",NE - 02
"e $150,000-350,000",AG AGRONOMY CENTER LLC,120  8TH ST,GOTHENBURG,NE,69138,424910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,13,04/08/2020,Flatwater Bank,NE - 03
"e $150,000-350,000",AG DRYER SERVICES INC,234 N Tyler Street PO BOX 450,ELM CREEK,NE,68836,333111,Corporation,White,Male Owned,Non-Veteran,NA,34,04/03/2020,FirsTier Bank,NE - 03
"e $150,000-350,000",AGILX,"826 P Street Lincoln, NE 68508 #2",LINCOLN,NE,68508,541511,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,NA,19,04/03/2020,Union Bank and Trust Company,NE - 01
"e $150,000-350,000","AGRI MILLWRIGHT, LLC",1525 Saint Paul Rd,GRAND ISLAND,NE,68801,238990,Limited  Liability Company(LLC),Hispanic,Male Owned,Unanswered,NA,12,05/04/2020,Exchange Bank,NE - 03
"e $150,000-350,000","AGRI-CITY INSURANCE AGENCY, LLC",220 East 11th St,SCHUYLER,NE,68661,524210,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,NA,20,04/03/2020,Elkhorn Valley Bank & Trust,NE - 01
"e $150,000-350,000",AGRIHORIZON INC,120 EAST DEBORAH AVE,FREMONT,NE,68025,999990,Corporation,White,Male Owned,Non-Veteran,NA,22,04/05/2020,First State Bank & Trust Company,NE - 01
"e $150,000-350,000","AGWAY, LLC",401 SW 32nd,LINCOLN,NE,68522,484121,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,NA,0,04/03/2020,First State Bank Nebraska,NE - 01
"e $150,000-350,000","AGWERX AVIATION, INC",4007 County Road O # G,TEKAMAH,NE,68061,115115,Corporation,Hispanic,Unanswered,Unanswered,NA,11,04/06/2020,Frontier Bank,NE - 01
"e $150,000-350,000",AIR CONDITIONING UTILITIES INC,2450 St. SAINT MARYS AVE,OMAHA,NE,68105,423730,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,10,04/04/2020,Pinnacle Bank,NE - 02
"e $150,000-350,000",AIRTECH SERVICE INC.,13316 C St,OMAHA,NE,68144,238220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/08/2020,First National Bank of Omaha,NE - 02
"e $150,000-350,000",AJ ALLOWAY INC,17117 Burt St,OMAHA,NE,68118,531210,Sole Proprietorship,White,Male Owned,Non-Veteran,NA,34,04/06/2020,Security National Bank of Omaha,NE - 02
"e $150,000-350,000",AK ACRES POPCORN COMPANY INC.,33297 740 RD,IMPERIAL,NE,69033,111998,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/28/2020,"Farm Credit Services of America, ACA",NE - 03
"e $150,000-350,000","AKSARBEN LODGING, LLC",6737 Frances St,OMAHA,NE,68106,531110,Corporation,Unanswered,Male Owned,Unanswered,NA,68,04/03/2020,Frontier Bank,NE - 02
"e $150,000-350,000","ALARADO ENTERPRISES, LLC",1911 ARROWHEAD DR,HOLDREGE,NE,68949,722513,Limited  Liability Company(LLC),White,Male Owned,Unanswered,NA,61,04/04/2020,First State Bank,NE - 03
"e $150,000-350,000","ALCOHOLICS RESOCIALIZATION CONDITIONING HELP, INC.",604 S 37th Street,OMAHA,NE,68105,621999,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,29,04/15/2020,Security National Bank of Omaha,NE - 02
"e $150,000-350,000","ALFA HOME HEALTH, LLC",11711 ARBOR ST,OMAHA,NE,68144,621610,Limited  Liability Company(LLC),Black or African American,Male Owned,Unanswered,NA,41,04/27/2020,Arbor Bank,NE - 02
"e $150,000-350,000",ALFS IMPLEMENT & WELL DRILLING,310 N Market,SHICKLEY,NE,68436,453998,Subchapter S Corporation,White,Male Owned,Non-Veteran,NA,16,04/03/2020,Heartland Bank,NE - 03
"e $150,000-350,000","ALINE BAE TANNING, INC",4202 Dodge Street,OMAHA,NE,68131,812199,Corporation,Unanswered,Unanswered,Unanswered,NA,54,04/05/2020,American National Bank,NE - 02
"e $150,000-350,000",ALL APPLIANCE SERVICE INC,7016 1/2 MAPLE ST,OMAHA,NE,68104,811412,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,19,04/15/2020,Premier Bank,NE - 02
"e $150,000-350,000","ALL MIDLANDS HEALTH SERVICES, INC.",6910 PACIFIC ST #200,OMAHA,NE,68106,561320,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,39,04/05/2020,Bank of Bennington,NE - 02
"e $150,000-350,000",ALL NATIVE SYNERGIES COMPANY,1 Mission Drive,WINNEBAGO,NE,68071,921190,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/13/2020,Great Western Bank,NE - 01
"e $150,000-350,000",ALL NATIVE SYSTEMS LLC,1 Mission Drive,WINNEBAGO,NE,68071,921190,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/13/2020,Great Western Bank,NE - 01
"e $150,000-350,000",ALL PURPOSE UTILITIES INC,7010 S 66th St,LA VISTA,NE,68128,236220,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,NA,14,04/03/2020,Pinnacle Bank,NE - 02
"e $150,000-350,000","ALL SYSTEMS, LLC",303 Empire Ave,FREMONT,NE,68025,238220,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,NA,16,04/07/2020,Pinnacle Bank,NE - 01
"e $150,000-350,000",ALLEN CAPITAL GROUP,3032 W Stolley Park Rd,GRAND ISLAND,NE,68801,523930,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,NA,20,04/03/2020,Pinnacle Bank,NE - 03
"e $150,000-350,000","ALLIANCE ANIMAL CLINIC, P.C.",PO Box 595,ALLIANCE,NE,69301,541940,Corporation,Unanswered,Unanswered,Unanswered,NA,22,04/30/2020,Bank of the West,NE - 03
"e $150,000-350,000",ALLIANCE OMAHA SOCCER LLC,12356 BALLPARK WAY,PAPILLION,NE,68046,711211,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,32,04/03/2020,Centris FCU,NE - 02
"e $150,000-350,000",ALLIANCE TRACTOR & IMPLEMENT C,PO BOX 657,ALLIANCE,NE,69301,811310,Corporation,White,Male Owned,Non-Veteran,NA,17,04/03/2020,Farmers State Bank,NE - 03
"e $150,000-350,000",ALPHA REHABILITATION P. C.,"920 E 56TH ST, Bldg A",KEARNEY,NE,68847,621340,Corporation,White,Female Owned,Unanswered,NA,13,04/04/2020,Heartland Bank,NE - 03
"e $150,000-350,000",ALPINE VILLAGE RETIREMENT CENTER,706 JAMES ST,VERDIGRE,NE,68783,623311,Corporation,Unanswered,Male Owned,Unanswered,NA,48,04/27/2020,Pinnacle Bank,NE - 03
"e $150,000-350,000",ALUMNI ASSOCIATION OF THE UNIVERSITY OF NEBRAS,1520 R Street,LINCOLN,NE,68508,813410,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,25,04/09/2020,Union Bank and Trust Company,NE - 01
"e $150,000-350,000",AMAKES QUALITY HOME CARE INC,11306 DAVENPORT STREET,OMAHA,NE,68154,621610,Corporation,Unanswered,Female Owned,Non-Veteran,NA,NA,05/03/2020,"Wells Fargo Bank, National Association",NE - 02
"e $150,000-350,000",AMBIS HOME HEALTH CARE LLC,7552 S 84TH ST,LA VISTA,NE,68128,621610,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,NA,04/29/2020,First National Bank of Omaha,NE - 02
"e $150,000-350,000","AMERICAN AGRICULTURAL LABORATORY, INC.",700 West D Street,MC COOK,NE,69001,541380,Corporation,White,Male Owned,Non-Veteran,NA,13,04/05/2020,MNB Bank,NE - 03
"e $150,000-350,000",AMERICAN AMUSEMENTS,1406 Fort Crook Rd STE 103,BELLEVUE,NE,68005,713120,Subchapter S Corporation,American Indian or Alaska Native,Male Owned,Non-Veteran,NA,26,04/07/2020,Northwest Bank,NE - 01
